Site,Plot,OpenSkyrep1,Openskyrep2,Lightrep1ab,Lightrep1be,Lightrep2ab,Lightrep2be,Lightrep3ab,Lightrep3be,ANPPgrass,ANPPwoody,ANPPforb,ANPPpyd,ANPPpine,TreeNum,FRI,FRIRatio,TimeSinceLastBurn,Season ,Region,GSavglowtemp,GSavghightemp,GSprecip ,Elevation,USEcoregions4
CFP2,2,1816,1822,1545,1093,1638,736,1668,1226,10.83,,,8.86,8.85,1,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,3,1816,1822,1593,879,539,511,1673,1158,17.56,,,14.88,113.64,0,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,4,1816,1822,1661,1172,1026,959,1612,885,5.13,,0.03,1.19,31.51,1,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,5,1816,1822,439,368,1677,1401,1648,1016,11.79,0.97,7.34,15.33,5.85,0,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,6,1816,1822,1667,750,1638,986,1691,985,17.42,,2.46,13.01,8.34,0,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,7,1816,1822,1681,379,1674,682,1716,1308,5.56,0.5,0.72,10.74,15.31,0,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,8,1816,1822,1703,1279,1675,1260,1627,1200,1.54,,4.94,3.71,19.9,1,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,9,1816,1822,1306,562,915,579,550,199,13.62,,0.74,10.32,23.25,2,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,10,1816,1822,1662,1216,1629,822,1667,1058,4.03,3.21,,5.18,18.43,0,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,11,1816,1822,1713,748,1738,997,1697,972,12.76,0.97,,12.85,10.98,0,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,12,1816,1822,1660,1074,1699,882,1727,538,13.34,,,9.55,19.48,0,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,13,1816,1822,1462,399,302,239,577,185,22.69,,1.5,13.48,29.78,1,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,14,1816,1822,1321,440,1695,490,990,646,16.53,2.38,,7,32.08,0,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,15,1816,1822,567,343,1700,1073,1712,605,9.48,1.12,2.28,5.07,14.29,0,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,16,1816,1822,1708,544,1101,726,1679,661,9.22,,6.86,4.29,15.6,0,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,17,1816,1822,1689,1114,1719,769,1732,1426,10.54,,,5.84,22.83,1,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,18,1816,1822,1760,761,1736,872,1707,805,7.13,0.61,9,10.28,16.68,0,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,19,1816,1822,1773,1019,1746,938,1701,1509,8.88,,0.42,8.39,9.37,1,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,20,1816,1822,1720,1140,1687,880,1760,905,10.35,,1.11,7.83,4.87,0,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,21,1816,1822,740,459,1678,1014,1736,677,9.79,,0.84,8.63,4.95,0,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,22,1816,1822,1754,1212,1792,1133,1777,795,18.05,,,14.78,2.35,0,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,23,1816,1822,1803,1270,1798,1002,1726,674,18.22,7.76,,15.37,3.6,0,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,24,1816,1822,1714,987,1268,382,1775,880,10.56,,,7.01,10.38,0,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP2,25,1816,1822,1760,1068,1794,628,1729,538,25.55,,,18.56,6.81,0,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
CFP3,1,1603,1840,841,438,785,412,420,310,1.02,,,0.45,20,0,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,2,1603,1840,691,524,1235,419,744,281,7.43,,0.1,1.08,22.6,0,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,3,1603,1840,502,293,1637,1518,1651,691,11.3,,,1.66,18.2,1,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,4,1603,1840,457,403,289,251,303,250,11.54,,,1.03,7.62,0,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,5,1603,1840,521,324,437,291,511,403,3.86,,,1.8,12.8,1,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,6,1603,1840,1378,1173,1024,567,780,734,5.55,,,0.85,10.58,0,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,7,1603,1840,1254,892,1544,914,1516,1138,8.38,,,1.53,20.73,0,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,8,1603,1840,1296,1094,1368,1281,1096,914,3.31,,,0.13,20.56,0,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,9,1603,1840,1556,1168,1528,1115,1454,1280,11.32,,,1.95,11.73,1,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,10,1603,1840,779,695,919,832,494,336,14.58,,,2.04,19.5,0,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,11,1603,1840,1502,1442,1481,1026,1605,1225,8.69,,,1.91,15.35,1,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,12,1603,1840,1600,1329,825,346,449,350,4.17,0.35,,1.6,16.89,1,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,13,1603,1840,437,325,577,292,1378,881,6.87,,,0.56,17.89,0,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,14,1603,1840,1703,899,1402,1303,1651,1380,10.04,,0.34,0.46,9.2,1,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,15,1603,1840,1629,1143,1570,1189,921,428,17.27,,,2.4,15.62,1,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,16,1603,1840,1682,1271,1603,1018,,,6.51,,,1.11,18.41,0,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,17,1603,1840,367,311,297,231,228,224,,,,,22.9,0,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,18,1603,1840,1332,1148,815,507,762,535,7.08,0.34,,0.81,19.56,1,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,19,1603,1840,1643,989,1304,762,925,494,20.85,,,3.94,17.88,0,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,20,1603,1840,994,585,1726,940,537,438,4.52,,,1.03,20.6,0,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,21,1603,1840,786,546,1709,1356,1410,1080,8.31,0.68,,1.47,24.97,1,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,22,1603,1840,1738,1486,1485,1216,1617,404,6.72,,,1.45,24.1,1,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,23,1603,1840,1371,972,1713,1462,1131,262,9.37,,,1.55,19.48,0,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,24,1603,1840,1504,1134,788,303,444,362,6.85,,,1.35,20.4,0,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CFP3,25,1603,1840,1693,1469,1816,1795,877,602,18.17,,,3.31,13.67,1,1.86,0.57142857,0,1,Sandhills,15.63,27.94,732.79,106.07,SandHills
CACR1,1,1608,1864,1571,824,390,359,894,579,9.78,1.76,,11.1,21.75,0,5,0.23809523,0,1,Sandhills,15.63,27.94,732.79,75.23,SandHills
CACR1,2,1608,1864,1571,1276,363,105,903,240,17.64,3.21,,14.45,27.71,0,5,0.23809523,0,1,Sandhills,15.63,27.94,732.79,75.23,SandHills
CACR1,3,1608,1864,1133,249,853,463,229,138,4.06,4.94,,5,34.32,0,5,0.23809523,0,1,Sandhills,15.63,27.94,732.79,75.23,SandHills
